,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
3665,35-44,Law,180000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3666,25-34,Education (Higher Education),44000,USD,United States,New Jersey,5-7 years,5-7 years,Master's degree,Non-binary,Another option not listed here or prefer not to answer,Executive Level
3669,18-24,Insurance,87000,USD,United States,Maryland,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3670,35-44,Government and Public Administration,83500,USD,United States,Minnesota,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3671,55-64,"Accounting, Banking & Finance",54000,USD,United States,Oklahoma,5-7 years,31 - 40 years,College degree,Woman,White,Mid Level
3672,35-44,Education (Higher Education),29660,USD,United States,Utah,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
3673,45-54,Nonprofits,73500,USD,United States,Georgia,31 - 40 years,21 - 30 years,College degree,Woman,White,Managerial Level
3674,35-44,"Accounting, Banking & Finance",88000,USD,United States,Illinois,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
3675,55-64,Business or Consulting,200000,USD,United States,Illinois,21 - 30 years,11 - 20 years,Master's degree,Man,White,Executive Level
3676,45-54,"Accounting, Banking & Finance",114000,USD,United States,California,21 - 30 years,21 - 30 years,College degree,Man,White,Managerial Level
3677,25-34,Nonprofits,120000,USD,United States,New York,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
3678,25-34,Education (Higher Education),60000,USD,United States,Maryland,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3679,35-44,Engineering or Manufacturing,113193,USD,United States,Colorado,5-7 years,2 - 4 years,PhD,Woman,White,Mid Level
3680,35-44,Recruitment or HR,65000,USD,United States,Massachusetts,11 - 20 years,5-7 years,Master's degree,Woman,White,Managerial Level
3681,25-34,Nonprofits,34881,USD,United States,,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,Executive Level
3682,25-34,Government and Public Administration,103000,USD,United States,Virginia,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
3683,55-64,Law,72800,USD,United States,Florida,31 - 40 years,31 - 40 years,Some college,Woman,White,Senior Level
3684,45-54,Education (Primary/Secondary),63223,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
3685,25-34,Nonprofits,47500,USD,United States,Colorado,8 - 10 years,5-7 years,Master's degree,Woman,White,Managerial Level
3686,55-64,Nonprofits,72000,USD,United States,Nebraska,31 - 40 years,21 - 30 years,College degree,Woman,White,Executive Level
3687,25-34,Entertainment,107000,USD,United States,Washington,5-7 years,2 - 4 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin",Senior Level
3688,25-34,Health care,120250,USD,United States,Texas,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
3689,35-44,"Accounting, Banking & Finance",92000,USD,United States,Colorado,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
3690,25-34,Computing or Tech,155000,USD,United States,California,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
3691,25-34,Nonprofits,107000,USD,United States,District of Columbia,11 - 20 years,8 - 10 years,College degree,Woman,White,Executive Level
3692,35-44,Recruitment or HR,74500,USD,United States,Michigan,11 - 20 years,8 - 10 years,Some college,Woman,White,Mid Level
3693,25-34,Education (Higher Education),36000,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
3695,35-44,Health care,72000,USD,United States,Minnesota,21 - 30 years,5-7 years,Some college,Woman,White,Mid Level
3696,35-44,"Accounting, Banking & Finance",109700,USD,United States,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
3697,25-34,Nonprofits,33650,USD,United States,Maryland,5-7 years,5-7 years,Master's degree,Woman,White,Managerial Level
3698,35-44,Retail,97350,USD,United States,Minnesota,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
3699,25-34,Education (Higher Education),70000,USD,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Senior Level
3700,25-34,Nonprofits,51250,USD,United States,Maine,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
3701,25-34,"Accounting, Banking & Finance",117000,USD,United States,Indiana,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
3702,25-34,Government and Public Administration,52322,USD,United States,,5-7 years,2 - 4 years,Master's degree,Woman,White,Senior Level
3703,45-54,Education (Higher Education),41000,USD,United States,Texas,21 - 30 years,8 - 10 years,College degree,Woman,White,Mid Level
3704,45-54,Engineering or Manufacturing,106826,USD,United States,,21 - 30 years,21 - 30 years,High School,Man,White,Managerial Level
3705,35-44,Law,62000,USD,United States,Pennsylvania,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
3707,35-44,Health care,150000,USD,United States,"Ohio, Wyoming",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,Senior Level
3708,45-54,Education (Higher Education),50000,USD,United States,Michigan,31 - 40 years,5-7 years,College degree,Woman,White,Mid Level
3709,35-44,Nonprofits,148500,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3710,25-34,Education (Higher Education),157000,USD,United States,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Executive Level
3711,25-34,Computing or Tech,154500,USD,United States,Ohio,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
3712,18-24,"Accounting, Banking & Finance",59000,USD,United States,Colorado,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
3713,35-44,Engineering or Manufacturing,91500,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
3714,55-64,Education (Primary/Secondary),43000,USD,United States,Ohio,31 - 40 years,31 - 40 years,Master's degree,Woman,White,Mid Level
3715,35-44,Computing or Tech,74216,USD,Ireland,,11 - 20 years,11 - 20 years,Some college,Woman,White,Mid Level
3716,25-34,Entertainment,134000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3717,45-54,Hospitality & Events,90000,USD,United States,Virginia,21 - 30 years,21 - 30 years,College degree,Woman,White,Executive Level
3718,25-34,Education (Higher Education),45000,USD,United States,Pennsylvania,5-7 years,2 - 4 years,Master's degree,Woman,White,Executive Level
3719,55-64,Engineering or Manufacturing,68409,USD,United States,Delaware,31 - 40 years,5-7 years,Some college,Woman,White,Mid Level
3721,35-44,Government and Public Administration,76304,USD,United States,,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Senior Level
3722,35-44,Computing or Tech,615000,USD,United States,California,11 - 20 years,11 - 20 years,PhD,Woman,White,Senior Level
3723,35-44,Nonprofits,68000,USD,United States,District of Columbia,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
3724,25-34,Health care,29068,USD,United States,,5-7 years,5-7 years,College degree,Woman,White,Mid Level
3725,35-44,"Accounting, Banking & Finance",42609,USD,United Kingdom,,11 - 20 years,8 - 10 years,Some college,Woman,White,Mid Level
3726,35-44,Computing or Tech,130000,USD,United States,California,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
3727,35-44,Media & Digital,76195,USD,United States,Colorado,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
3728,25-34,Computing or Tech,130000,USD,United States,Massachusetts,5-7 years,5-7 years,College degree,Woman,White,Senior Level
3729,25-34,"Marketing, Advertising & PR",45000,USD,United States,Florida,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
3731,45-54,Nonprofits,113150,USD,United States,Massachusetts,31 - 40 years,21 - 30 years,College degree,Woman,White,Executive Level
3732,45-54,Insurance,120000,USD,United States,Nevada,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
3733,25-34,Nonprofits,61099,USD,United States,District of Columbia,5-7 years,5-7 years,College degree,Man,White,Managerial Level
3734,35-44,Nonprofits,39000,USD,United States,Maine,11 - 20 years,8 - 10 years,High School,Woman,White,Mid Level
3735,45-54,Computing or Tech,180000,USD,United States,Wisconsin,21 - 30 years,21 - 30 years,College degree,Man,White,Executive Level
3736,25-34,Media & Digital,135000,USD,United States,New York,11 - 20 years,8 - 10 years,College degree,Woman,White,Executive Level
3737,25-34,Education (Higher Education),44526,USD,United States,Rhode Island,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
3738,35-44,Computing or Tech,105000,USD,United States,Illinois,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
3739,35-44,Computing or Tech,78800,USD,United States,Wisconsin,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
3740,25-34,Agriculture or Forestry,31000,USD,United States,California,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
3741,25-34,Government and Public Administration,65825,USD,United States,,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
3743,25-34,Media & Digital,115000,USD,United States,New York,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,Senior Level
3744,35-44,Health care,62500,USD,United States,Oregon,21 - 30 years,11 - 20 years,Some college,Woman,White,Mid Level
3745,35-44,Government and Public Administration,69000,USD,United States,Iowa,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3746,45-54,Transport or Logistics,29120,USD,United States,South Carolina,11 - 20 years,5-7 years,Some college,Woman,White,Mid Level
3747,25-34,"Marketing, Advertising & PR",81000,USD,United States,California,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3748,45-54,Insurance,52000,USD,United States,Wisconsin,31 - 40 years,21 - 30 years,College degree,Woman,White,Mid Level
3749,25-34,Entertainment,75000,USD,United States,California,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
3750,35-44,Government and Public Administration,49377,USD,United States,California,8 - 10 years,2 - 4 years,College degree,Woman,White,Mid Level
3751,18-24,Computing or Tech,64899,USD,United States,Massachusetts,2 - 4 years,2 - 4 years,College degree,Woman,White,Managerial Level
3752,55-64,Law,99000,USD,United States,District of Columbia,31 - 40 years,21 - 30 years,College degree,Woman,White,Mid Level
3753,35-44,Computing or Tech,132000,USD,United States,California,5-7 years,5-7 years,College degree,Woman,White,Executive Level
3754,55-64,Nonprofits,60180,USD,United States,Michigan,21 - 30 years,21 - 30 years,College degree,Woman,White,Executive Level
3755,25-34,Government and Public Administration,56160,USD,United States,North Dakota,8 - 10 years,2 - 4 years,College degree,Woman,White,Managerial Level
3756,35-44,Law,285000,USD,United States,California,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,Executive Level
3757,35-44,Education (Higher Education),64000,USD,United States,Colorado,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
3758,45-54,Business or Consulting,210000,USD,United States,California,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
3759,35-44,"Accounting, Banking & Finance",101000,USD,United States,Virginia,21 - 30 years,11 - 20 years,Some college,Woman,White,Mid Level
3760,25-34,Government and Public Administration,50449,USD,United States,,5-7 years,5-7 years,College degree,Woman,White,Senior Level
3761,35-44,Retail,46000,USD,United States,Ohio,11 - 20 years,5-7 years,Some college,Man,White,Mid Level
3762,35-44,"Accounting, Banking & Finance",75000,USD,United States,New Jersey,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
3763,25-34,Computing or Tech,77638,USD,Ireland,,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
3764,25-34,Education (Primary/Secondary),42000,USD,United States,Colorado,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3765,45-54,Health care,124000,USD,United States,Georgia,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3766,25-34,Nonprofits,44000,USD,United States,Massachusetts,2 - 4 years,2 - 4 years,College degree,Non-binary,White,Managerial Level
3767,25-34,Nonprofits,69000,USD,United States,District of Columbia,5-7 years,5-7 years,College degree,Woman,White,Senior Level
3768,18-24,Education (Primary/Secondary),31776,USD,United States,Texas,2 - 4 years,1 year or less,College degree,Woman,White,Junior Level
3769,25-34,Education (Primary/Secondary),82650,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Non-binary,White,Mid Level
3770,35-44,Engineering or Manufacturing,72065,USD,Germany,,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White,Mid Level
3771,25-34,Transport or Logistics,58200,USD,United States,Indiana,5-7 years,2 - 4 years,College degree,Woman,White,Executive Level
3772,25-34,"Accounting, Banking & Finance",65250,USD,United States,Texas,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
3773,25-34,Engineering or Manufacturing,51500,USD,United States,Alabama,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White,Mid Level
3774,25-34,"Accounting, Banking & Finance",162000,USD,United States,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
3775,25-34,"Marketing, Advertising & PR",38152,USD,United States,,8 - 10 years,2 - 4 years,College degree,Woman,White,Mid Level
3776,35-44,Nonprofits,85000,USD,United States,Pennsylvania,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Executive Level
3779,45-54,Nonprofits,199990,USD,United States,Virginia,21 - 30 years,21 - 30 years,Master's degree,Man,White,Executive Level
3781,35-44,Engineering or Manufacturing,127000,USD,United States,Georgia,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Mid Level
3782,25-34,Law,265000,USD,United States,District of Columbia,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,Junior Level
3783,25-34,Engineering or Manufacturing,48724,USD,Germany,,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3785,25-34,Law,80000,USD,United States,Washington,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
3786,35-44,Education (Higher Education),44329,USD,United States,,11 - 20 years,2 - 4 years,College degree,Non-binary,White,Mid Level
3787,35-44,Computing or Tech,545000,USD,United States,New York,11 - 20 years,11 - 20 years,Master's degree,Man,White,Mid Level
3788,25-34,Education (Primary/Secondary),52000,USD,United States,Wisconsin,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
3789,25-34,Education (Higher Education),65000,USD,United States,New York,5-7 years,2 - 4 years,Master's degree,Woman,White,Executive Level
3791,55-64,"Accounting, Banking & Finance",650000,USD,United States,Massachusetts,21 - 30 years,21 - 30 years,PhD,Man,White,Mid Level
3792,25-34,Hospitality & Events,97000,USD,United States,California,11 - 20 years,11 - 20 years,Some college,Woman,Another option not listed here or prefer not to answer,Executive Level
